,vessel_type,vessel_group,#subtracks,mean_length,median_length,start_time,end_time
367072930,31.0,Towing,1,1058.0,1058.0,2022-01-01 00:00:03,2022-01-01 23:58:58
367074110,70.0,Cargo,1,1252.0,1252.0,2022-01-01 00:00:04,2022-01-01 23:59:23
367074840,31.0,Towing,1,1191.0,1191.0,2022-01-01 00:00:54,2022-01-01 23:59:44
367075110,31.0,Towing,1,1217.0,1217.0,2022-01-01 00:01:06,2022-01-01 23:59:58
367075320,31.0,Towing,1,1208.0,1208.0,2022-01-01 00:00:03,2022-01-01 23:59:43
367076410,50.0,Other,333,3.7477477477477477,1.0,2022-01-01 00:00:01,2022-01-01 23:59:36
367076910,31.0,Towing,1,1207.0,1207.0,2022-01-01 00:00:54,2022-01-01 23:59:14
367077850,31.0,Towing,1,1173.0,1173.0,2022-01-01 00:01:05,2022-01-01 23:59:06
367078250,31.0,Towing,1,1222.0,1222.0,2022-01-01 00:00:15,2022-01-01 23:59:26
367078350,31.0,Towing,1,1222.0,1222.0,2022-01-01 00:00:54,2022-01-01 23:59:22
367078410,31.0,Towing,1,1028.0,1028.0,2022-01-01 00:05:20,2022-01-01 23:59:19
367078850,31.0,Towing,1,1250.0,1250.0,2022-01-01 00:00:04,2022-01-01 23:59:06
367079240,31.0,Towing,1,1209.0,1209.0,2022-01-01 00:01:05,2022-01-01 23:59:38
367079560,60.0,Passenger,313,3.7603833865814695,1.0,2022-01-01 00:01:14,2022-01-01 23:59:09
367080090,31.0,Towing,1,1225.0,1225.0,2022-01-01 00:00:02,2022-01-01 23:59:42
367080390,31.0,Towing,1,1221.0,1221.0,2022-01-01 00:01:21,2022-01-01 23:59:09
367080810,31.0,Towing,1,1192.0,1192.0,2022-01-01 00:00:50,2022-01-01 23:59:00
367081140,31.0,Towing,1,1228.0,1228.0,2022-01-01 00:00:50,2022-01-01 23:59:30
367081260,90.0,Other,1,1225.0,1225.0,2022-01-01 00:00:09,2022-01-01 23:59:45
367082000,31.0,Towing,6,196.66666666666666,4.0,2022-01-01 00:00:51,2022-01-01 23:59:00
367082130,31.0,Towing,1,1248.0,1248.0,2022-01-01 00:00:15,2022-01-01 23:59:17
367082220,70.0,Cargo,870,1.4482758620689655,1.0,2022-01-01 00:00:09,2022-01-01 23:59:59
367082230,70.0,Cargo,587,2.131175468483816,1.0,2022-01-01 00:00:07,2022-01-01 23:58:57
367082540,31.0,Towing,1,1115.0,1115.0,2022-01-01 00:00:58,2022-01-01 23:59:48
367082860,31.0,Towing,5,241.8,59.0,2022-01-01 00:00:00,2022-01-01 23:59:40
367086440,90.0,Other,13,92.46153846153847,2.0,2022-01-01 00:00:01,2022-01-01 23:59:22
367087140,90.0,Other,1,1232.0,1232.0,2022-01-01 00:00:00,2022-01-01 23:59:53
367087160,31.0,Towing,1,1202.0,1202.0,2022-01-01 00:00:01,2022-01-01 23:59:20
367087240,60.0,Passenger,466,2.721030042918455,1.0,2022-01-01 00:00:02,2022-01-01 23:59:12
367087250,31.0,Towing,1,1199.0,1199.0,2022-01-01 00:00:50,2022-01-01 23:59:30
367088210,30.0,Fishing,1,1197.0,1197.0,2022-01-01 00:01:08,2022-01-01 23:59:28
367088880,31.0,Towing,1,1216.0,1216.0,2022-01-01 00:00:02,2022-01-01 23:59:11
367088940,30.0,Fishing,1,1324.0,1324.0,2022-01-01 00:01:09,2022-01-01 23:59:20
367090270,60.0,Passenger,1,1221.0,1221.0,2022-01-01 00:00:01,2022-01-01 23:59:01
367090310,60.0,Passenger,54,21.925925925925927,1.0,2022-01-01 00:01:04,2022-01-01 23:59:54
367090420,31.0,Towing,1,1015.0,1015.0,2022-01-01 00:00:02,2022-01-01 23:58:32
367090590,31.0,Towing,1,1185.0,1185.0,2022-01-01 00:00:03,2022-01-01 23:59:24
367090680,31.0,Towing,1,1158.0,1158.0,2022-01-01 00:00:49,2022-01-01 23:59:18
367091120,31.0,Towing,9,137.22222222222223,1.0,2022-01-01 00:00:04,2022-01-01 23:59:28
367091630,31.0,Towing,193,6.414507772020725,1.0,2022-01-01 00:00:00,2022-01-01 23:58:51
367091990,31.0,Towing,1,1213.0,1213.0,2022-01-01 00:00:00,2022-01-01 23:59:59
367092210,31.0,Towing,1,1214.0,1214.0,2022-01-01 00:00:52,2022-01-01 23:59:44
367092610,30.0,Fishing,1,1234.0,1234.0,2022-01-01 00:00:11,2022-01-01 23:59:22
367092768,31.0,Towing,1,1213.0,1213.0,2022-01-01 00:00:54,2022-01-01 23:59:24
367093520,31.0,Towing,1,1201.0,1201.0,2022-01-01 00:01:05,2022-01-01 23:59:16
367093690,31.0,Towing,1,1165.0,1165.0,2022-01-01 00:01:24,2022-01-01 23:59:14
367093960,60.0,Passenger,295,3.7457627118644066,1.0,2022-01-01 00:00:01,2022-01-01 23:59:49
367093970,31.0,Towing,1,1229.0,1229.0,2022-01-01 00:00:07,2022-01-01 23:59:27
367094420,30.0,Fishing,1,1230.0,1230.0,2022-01-01 00:00:06,2022-01-01 23:58:56
367095660,31.0,Towing,1,1200.0,1200.0,2022-01-01 00:01:03,2022-01-01 23:59:53
